Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
RIPARARE,0,Trasmutazione,"bardo, chierico, druido, mago, stregone",1 minuto,contatto,"V, S, M (d ue calamite)",istantanea,"Questo incantesimo ripara una singola crepa o uno squar­ cio in un oggetto toccato dall'incantatore, come l'anello spezzato di una catena, due metà di una chiave spezzata, un mantello strappato o un otre forato. Se le dimensioni della crepa o dello squarcio non superano i 30 centimetri, l'incantatore ripara l'oggetto senza lasciare traccia del danno precedente. Questo incantesimo può riparare un oggetto magico solo fisicamente, senza ripristinare la magia in esso contenuta. RIPOSO INVIOLATO"
RIPOSO INVIOLATO,2,Necromanzia,"chierico, mago, paladino",azione o rituale,contatto,"V, S, M (2 monete di rame, che l'incantesimo consuma)",1 0  giorni,"L'incantatore tocca un cadavere o altri resti. Per la durata dell'incantesimo, il bersaglio è protetto dalla decomposi­ zione e non può diventare un non morto. Inoltre, l'incantesimo estende il limite di tempo entro cui rianimare il bersaglio dalla morte, in quanto i giorni trascorsi sotto l'influenza di questo incantesimo non contano al fine di determinare il limite di tempo di incan­ tesimi come rianimare morti. RISATA INCONTENIBILE DI TASHA"
RISATA INCONTENIBILE DI TASHA,1,Ammaliamento,"bardo, warlock, mago",azione,9 metri,"V, S, M (una crostata e una piuma)","concentrazione, fino a 1 minuto","Una creatura a scelta entro gittata che l'incantatore è in grado di vedere effettua un tiro salvezza su Saggezza. Se lo fallisce, cade a terra prona ed è incapacitata per la durata dell'incantesimo. Durante quel periodo di tempo, ride incontrollabilmente (se è in grado di ridere) e non può porre fine alla condizione prono. Il bersaglio effettua un altro tiro salvezza su Saggezza alla fine di ogni suo turno e ogni volta che subisce danni; in quest'ultimo caso, lo effettua con vantaggio. In caso di successo, l'incantesimo termina. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 1°. RISCALDARE IL METALLO"
RISCALDARE IL METALLO,2,Trasmutazione,"bardo, druido",azione,18 metri,"V, S, M (un pezzo di ferro e una fiamma)","concentrazione, fino a 1 minuto","L'incantatore sceglie un oggetto lavorato in metallo, come un'arma in metallo o un'armatura di metallo media o pesante entro gittata che è in grado di vedere e la rende incandescente. Qualsiasi creatura a contatto fisico con l'oggetto subisce 2d8 danni da fuoco al momento del lancio dell'incantesimo. Fino al termine dell'incantesimo, l'incantatore può effettuare un'azione bonus in ognuno dei suoi turni successivi per infliggere di nuovo i danni se l'oggetto si trova entro gittata. Se una creatura sta stringendo o indossando l'oggetto e ne subisce i danni, deve superare un tiro salvezza su Costituzione o, se possibile, lasciar cadere l'oggetto. Se non lascia cadere l'oggetto, il bersaglio subisce svantaggio ai tiri per colpire e alle prove di caratteristica effettuati prima dell'inizio del turno successivo dell'incantatore. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 2°. RISTORARE INFERIORE"
RISTORARE INFERIORE,2,Abiurazione,"bardo, chierico, druido, paladino, ranger",azione bonus,contatto,"V, S",istantanea,"L'incantatore tocca una creatura e pone fine a una delle condizioni che la affiigge tra: accecata, assordata, avvelenata o paralizzata. RISTORARE SUPERIORE"
RISTORARE SUPERIORE,5,Abiurazione,"bardo, chierico, druido, paladino, ranger",azione,contatto,"V, S, M (polvere di diamante del valore di 1 00 mo o più, che l ' incantesimo consuma)",istantanea,"L'incantatore tocca una creatura e rimuove magicamente da essa uno dei seguenti effetti: 1 livello di indebolimento La condizione affascinato o pietrificato Una maledizione, inclusa la sintonia del bersaglio con un oggetto magico maledetto Qualsiasi riduzione di un punteggio di caratteristica del bersaglio Qualsiasi riduzione dei punti ferita massimi del bersaglio RISVEGLIO"
RISVEGLIO,5,Trasmutazione,"bardo, druido",azione bonus,i ncantatore,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore trascorre il tempo di lancio tracciando percorsi magici su una pietra preziosa, poi tocca il ber­ saglio. Il bersaglio deve essere una bestia o una creatura vegetale con Intelligenza pari o inferiore a 3 o una pianta naturale che non sia una creatura. Il bersaglio acquisisce Intelligenza pari a 10 e la capacità di parlare una lingua conosciuta dall'incantatore. Se il bersaglio è una pianta naturale, diventa una creatura vegetale e ottiene l'abilità di muovere i suoi rami, radici, liane, rampicanti e così via e sviluppa sensi simili a quelli umani. Il DM sceglie le statistiche appropriate per il vegetale risvegliato, come per esempio nel caso di un cespuglio risvegliato o di un albero risvegliato, nel Manuale dei Mostri. Il bersaglio risvegliato rimane affascinato per 30 giorni o finché l'incantatore o i suoi alleati non gli infliggono danni. Quando l'effetto di tale condizione svanisce, la creatura risvegliata sceglie il suo atteggiamento nei confronti dell'incantatore. RITIRATA RAPIDA Trasmutazione di I 0 livello (mago, stregone, warlock) L'incantatore effettua un'azione di Scatto e, fino al termine dell'incantesimo, può effettuarla di nuovo come azione bonus. ROMBO DI TuONO"
ROMBO DI TuONO,0,Invocazione,"bardo, druido, mago, stregone, warlock",azione bonus,"contatto Componente: V, S, M (la zampa posteriore di una cavalletta)",S,l minuto,"Ogni creatura entro un'emanazione del raggio di 1,5 metri, di cui l'incantatore è punto di origine, deve superare un tiro salvezza su Costituzione, altrimenti subisce ld6 danni da tuono. Il rombo fragoroso dell'incantesimo è udibile fino a 30 metri di distanza. Trucchetto potenziato. I danni aumentano di ld6 quando l'incantatore raggiunge il 5° livello (2d6), 1'11° livello (3d6) e il 17° livello (4d6). SALTARE Trasmutazione di I0 livello (druido, mago, ranger, stregone) L'incantatore tocca una creatura consenziente. La crea­ tura, in ogni suo turno fino al termine dell'incantesimo, può saltare fino a 9 metri, usando 3 metri di movimento. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 1°. SALVARE I MORENTI"
SALVARE I MORENTI,0,Necromanzia,"chierico, druido",azione,"4,5 metri","V, S",istantanea,"L'incantatore sceglie una creatura entro gittata con O punti ferita ma che è ancora in vita, facendola diventare stabile. Trucchetto potenziato. La gittata raddoppia quando l'incantatore raggiunge il 5° livello (9 metri), 1'11° livello (18 metri) e il 17° livello (36 metri). SANTIFICARE"
SANTIFICARE,5,Abiurazione,chierico,24 ore,contatto,"V, S, M (incenso del valore di 1 .000 mo o più, che l'incantesimo consuma)",fi nché non viene dissolto,"L'incantatore tocca un punto e infonde un potere sacro o sacrilego in un'area del raggio massimo di 18 metri intorno a esso. L'incantesimo tuttavia fallisce se il raggio comprende un'area già sotto l'effetto di santificare. L'area influenzata è soggetta ai seguenti effetti: Protezione consacrata. L'incantatore sceglie uno dei seguenti tipi di creature: aberrazione, celestiale, elemen­ tale, folletto, immondo o non morto. Le creature del tipo scelto non possono entrare volontariamente nell'area, e qualsiasi creatura affascinata, spaventata o posseduta da tali creature non viene affascinata, spaventata o posse­ duta fintantoché si trova nell'area. Effetto aggiuntivo. L'incantatore vincola un effetto aggiuntivo all'area, scegliendolo dalla lista sottostante: Coraggio. Le creature di qualsiasi tipo scelto dall'incan­ tatore non possono essere spaventate finché si trovano nell'area. Interferenza extradimensionale. Le creature di qual­ siasi tipo scelte dall'incantatore non possono entrare o uscire dall'area utilizzando il teletrasporto o i viaggi interplanari. Linguaggi. Le creature di qualsiasi tipo scelto dall'in­ cantatore possono comunicare con qualsiasi creatura all'interno dell'area, anche se non condividono la stessa lingua. Luce diurna. L'area è pervasa di luce intensa. L'oscurità magica creata dagli incantesimi di livello inferiore rispetto a questo incantesimo non possono sopprimere la luce. Oscurità. L'area si riempie di oscurità. La luce normale, nonché la luce magica creata dagli incantesimi di livello inferiore rispetto a questo incantesimo, non possono illuminare l'area. Paura. Le creature di qualsiasi tipo scelto dall'incanta­ tore non possono essere spaventate finché si trovano nell'area. Resistenza. Le creature di qualsiasi tipo scelto dall'in­ cantatore sono resistenti a un tipo di danno scelto dall'incantatore finché si trovano nell'area. Sereno riposo. I cadaveri sepolti nell'area non possono diventare non morti. Silenzio. L'area è insonorizzata, nessun suono può fuoriu­ scire o penetrare al suo interno. Vulnerabilità. Le creature di qualsiasi tipo scelto dall'in­ cantatore sono vulnerabili a un tipo di danno scelto dall'incantatore finché si trovano nell'area. SANTUARIO"
SANTUARIO,1,Abiurazione,chierico,azione bonus,9 metri,"V, S, M (un frammento di vetro di uno specchio)",l minuto,"L'incantatore protegge una creatura situata entro gittata. Fino al termine dell'incantesimo, ogni creatura che bersaglia la creatura protetta con un tiro per colpire o con un incantesimo dannoso deve prima superare un tiro salvezza su Saggezza, altrimenti deve scegliere un bersaglio diverso o perdere l'attacco o l'incantesimo. Questo incantesimo non protegge la creatura protetta dalle aree di effetto. L'incantesimo termina se la creatura protetta effettua un tiro per colpire, lancia un incantesimo o infligge danni. SANTUARIO PRIVATO DI MORDENKAINEN"
SANTUARIO PRIVATO DI MORDENKAINEN,4,Abiurazione,mago,1 0  minuti,36 metri,"V, S, M (una sottile lamina di piombo)",24 ore,"L'incantatore rende magicamente sicura un'area entro gittata: un cubo le cui dimensioni possono variare da un minimo di 1,5 metri per spigolo a un massimo di 30 metri per spigolo. L'incantesimo permane per tutta la sua durata. Quando lancia l'incantesimo, l'incantatore decide che tipo di sicurezza esso fornisce, scegliendo una o più tra le proprietà seguenti: I suoni non possono attraversare la barriera ai confini dell'area protetta. La barriera nell'area protetta appare oscura e nebulosa, rendendo impossibile vedere oltre (anche utilizzando scurovisione). I sensori creati dagli incantesimi di divinazione non possono apparire all'interno dell'area protetta né oltre­ passarne il perimetro. Le creature nell'area non possono essere bersaglio di incantesimi di divinazione. Nulla può teletrasportarsi dentro o fuori dall'area protetta. I viaggi planari sono bloccati all'interno dell'area protetta. Lanciando questo incantesimo nello stesso punto ogni giorno per 365 giorni, l'incantesimo dura finché non viene dissolto. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può aumentare le dimensioni del cubo di 30 metri per spigolo per ogni slot di livello superiore al 4°. SCAGLIARE MALEDIZIONE"
SCAGLIARE MALEDIZIONE,3,Necromanzia,"bardo, chierico, mago",azione,contatto,"V, S","concentrazione, fino a l minuto","L'incantatore tocca una creatura che deve superare un tiro salvezza su Saggezza, altrimenti verrà maledetta per la durata dell'incantesimo. Finché la maledizione non sva­ nisce, il bersaglio subisce uno dei seguenti effetti a scelta: L'incantatore sceglie una caratteristica. Il bersaglio subisce svantaggio alle prove di caratteristica e ai tiri salvezza effettuati con quella caratteristica. Il bersaglio subisce svantaggio ai tiri per colpire contro l'incantatore. In combattimento, il bersaglio deve superare un tiro salvezza su Saggezza all'inizio di ogni suo turno, altrimenti in quel turno è costretto a effettuare l'azione Schivata. Se l'incantatore infligge danni al bersaglio con un tiro per colpire o un incantesimo, il bersaglio subisce ld8 danni necrotici extra. Utilizzo di uno slot incantesimo di livello superiore. Se l'incantatore lancia questo incantesimo usando uno slot incantesimo di 4° livello, può mantenere la concentra­ zione su di esso fino a un massimo di 10 minuti. Se usa uno slot incantesimo di 5° livello o superiore, l'incantesimo non richiede concentrazione e la durata diventa di 8 ore (slot di 5° e 6° livello) o 24 ore (slot di 7° o 8° livello). Se usa uno slot incantesimo di 9° livello, l'incantesimo dura finché non viene dissolto. SCASSINARE"
SCASSINARE,2,Trasmutazione,"bardo, mago, stregone",azione,18 metri,V,istantanea,"L'incantatore sceglie un oggetto entro gittata che egli sia in grado di vedere. Può trattarsi di una porta, uno scrigno, un forziere, un paio di manette, un lucchetto o un altro oggetto dotato di un mezzo normale o magico per la chiusura. Un bersaglio tenuto chiuso da una normale serratura, incastrato o sbarrato, cessa di essere tale. Se l'oggetto è protetto da più serrature, con questo incantesimo se ne sblocca soltanto una. Se il bersaglio è tenuto chiuso da Serratura Arcana, quell'incantesimo è soppresso per 10 minuti, nel corso dei quali l'oggetto può essere aperto e chiuso. Quando l'incantatore lancia l'incantesimo, si percepisce un forte rumore simile al bussare proveniente dal bersa­ glio, udibile fino a una distanza di 90 metri. SCHEGGIA DELLA MENTE"
SCHEGGIA DELLA MENTE,0,Ammaliamento,"mago, stregone, warlock",azione,18 metri,V,1 round,"L'incantatore tenta di spezzare temporaneamente la mente di una creatura entro gittata che è in grado di vedere. La creatura deve superare un tiro salvezza su Intelligenza o subire ld6 danni psichici e sottrarre ld4 al tiro salvezza successivo che effettua prima del termine del turno suc­ cessivo dell'incantatore. Trucchetto potenziato. I danni aumentano di ld6 quando l'incantatore raggiunge il 5° livello (2d6), 1'11° livello (3d6) e il 17° livello (4d6). SCIAME DI METEORE"
SCIAME DI METEORE,9,Invocazione,"mago, stregone",azione,"1 , 5  chilometri","V, S",istantanea,"Globi infuocati precipitano sul terreno in quattro punti differenti entro gittata che l'incantatore è in grado di vedere. Ogni creatura situata in una sfera del raggio di 12 metri centrata su ognuno di quei punti effettua un tiro salvezza su Destrezza. Una creatura subisce 20d6 danni da fuoco e 20d6 danni contundenti in caso di fallimento, o la metà dei danni in caso di successo. Una creatura in un'area con più sfere infuocate subisce l'effetto soltanto una volta. Anche un oggetto non magico che non sia indossato o trasportato subisce i danni se si trova entro l'area dell'incantesimo, e inizia a bruciare se è infiammabile. SCOLPIRE PIETRA"
SCOLPIRE PIETRA,4,Trasmutazione,"chierico, druido, mago",azione,contatto,"V, S, M (argilla morbida)",istantanea,"L'incantatore tocca un oggetto di pietra di taglia Media o inferiore, oppure una sezione di pietra non più grande di 1,5 metri in ogni dimensione, modellandola nella forma che desidera. Per esempio, potrebbe trasformare una grossa roccia in un'arma, una statua, un forziere o creare un piccolo sentiero di passaggio attraverso un muro spesso 1,5 metri. L'incantatore può anche modellare una porta di pietra o i suoi stipiti per sigillarla. L'oggetto creato può avere un massimo di due cardini e una chiusura, ma non può essere dotato di meccanismi più raffinati. SCOPRI IL PERCORSO"
SCOPRI IL PERCORSO,6,Divinazione,"bardo, chierico, druido",1 minuto,incantatore,"V, S, M (un set di strumenti di divinazione, come carte o rune, del valore di 1 00 mo o più)","concentrazione, fino a 1 giorno","L'incantatore percepisce magicamente il percorso fisico più diretto verso una destinazione di cui nomina il nome e che gli sia nota. Se nomina una destinazione su un altro piano di esistenza, una destinazione in movimento (come una fortezza mobile) o una destinazione poco specifica (come ""la tana di un drago verde""), l'incantesimo non ha effetto. Per la durata dell'incantesimo, finché l'incantatore si trova sullo stesso piano di esistenza della destinazione, sa quanto è lontana e in che direzione si trova. Ogni volta che l'incantatore si trova a scegliere tra più percorsi, sa qual è il più diretto. SCOPRI TRAPPOLE"
SCOPRI TRAPPOLE,2,Divinazione,"chierico, druido, ranger",azione,36 metri,"V, S",istantanea,"L'incantatore percepisce qualsiasi trappola piazzata entro gittata e nel suo campo visivo. Ai fini di questo incantesimo, per trappola si intende qualsiasi oggetto o meccanismo creato per provocare danni o altri pericoli. Pertanto, l'incantesimo è in grado di percepire gli incan­ tesimi allarme o glifo di interdizione, o una fossa meccanica nascosta, ma non di rivelare un cedimento naturale del pavimento, un soffitto instabile o una voragine nascosta. Questo incantesimo rivela la presenza di una trappola ma non la sua ubicazione. L'incantatore scopre solo la natura generale del pericolo che la trappola pone. SCOSSA SINAPTICA"
SCOSSA SINAPTICA,5,Ammaliamento,"bardo, mago, stregone, warlock",azione,36 metri,"V, S",istantanea,"L'incantatore sprigiona un'esplosione di energia psichica da un punto entro gittata. Ogni creatura presente in una sfera dal raggio di 6 metri e centrata su quel punto deve effettuare un tiro salvezza su Intelligenza, subendo 8d6 danni psichici in caso di fallimento, o la metà dei danni in caso di successo. Dopo un tiro salvezza fallito, inoltre, i pensieri del bersaglio restano offuscati per 1 minuto. Durante questo periodo di tempo, viene sottratto ld6 a tutti i suoi tiri per colpire e alle sue prove di caratteristica, così come ai tiri salvezza su Costituzione per mantenere la concentra­ zione. Il bersaglio effettua un tiro salvezza su Intelligenza alla fine di ogni suo turno e, se lo supera, l'effetto svanisce. SCRIGNO SEGRETO DI LEOMUND"
SCRIGNO SEGRETO DI LEOMUND,4,Evocazione,mago,azione,contatto,"V, S, M (uno scrigno che misura 90 x 60 x 60 centimetri, realizzato con materiali rari del valore di 5.000 mo o più e una riproduzione minuscola dello scri­ gno fatta degli stessi materiali del valore di 50 mo o più)",finché non viene dissolto,"L'incantatore nasconde uno scrigno e tutti i suoi contenuti sul Piano Etereo. Per farlo, deve toccare lo scrigno e la riproduzione in miniatura che fungono da componenti materiali dell'incantesimo. Il forziere può contenere fino a 12 cubi con spigolo di 30 centimetri di materiale non vivente (90 x 60 x 60 cm). Finché il forziere rimane sul Piano Etereo, l'incantatore può effettuare un'azione di Magia e toccare la riprodu­ zione per richiamare a sé lo scrigno, che appare a terra in uno spazio libero entro 1,5 metri da lui. L'incantatore può inviare nuovamente lo scrigno sul Piano Etereo, effettuando un'azione di Magia per toccare lo scrigno e la riproduzione. Dopo 60 giorni, esiste una probabilità cumulativa del 5% al termine di ogni giorno che l'incantesimo termini. L'incantesimo termina anche se l'incantatore lancia nuovamente questo incantesimo o se la riproduzione minuscola dello scrigno viene distrutta. Se l'incantesimo termina e lo scrigno più grande si trova sul Piano Etereo, lo scrigno rimane lì per poter essere ritrovato dall'incan­ tatore o da qualcun altro. SCRITTO ILLUSORIO"
SCRITTO ILLUSORIO,1,Illusione,"bardo, mago, warlock",1 minuto o rituale,contatto,"S, M (inchiostro del valore di 10 mo o più, che l'incantesimo consuma)",10 giorni,"3F5 L'incantatore scrive su una pergamena, un foglio o un altro materiale adatto e infonde nello scritto un'illusione che permane per la durata dell'incantesimo. All'incanta­ tore e a qualsiasi creatura indicata da lui al momento del lancio, lo scritto appare normale, sembra essere stilato nella calligrafia dell'incantatore e trasmette il significato inteso nel momento in cui è stato scritto. Agli occhi di tutti gli altri, il messaggio appare scritto in una lingua magica o ignota che risulta per loro incomprensibile. In alternativa, l'illusione può alterare il significato, la calligrafia e la lingua del testo, ma questa deve essere una lingua conosciuta dall'incantatore. Se l'incantesimo viene dissolto, il messaggio originale e l'illusione scompaiono. Una creatura con vista pura può leggere il messaggio nascosto. SCRUTARE"
SCRUTARE,5,Divinazione,"bardo, chierico, druido, mago, warlock",1 0  minuti,incantatore,"V, S, M (un focus del valore di 1 .000 mo o più, come una sfera di cristallo, uno specchio o una fonte d 'acqua)","concentrazione, fino a 10 minuti","L'incantatore può vedere e udire una creatura a sua scelta situata sul suo stesso piano di esistenza. Il bersaglio effettua un tiro salvezza su Saggezza, modificato (vedi le tabelle di seguito) dalla conoscenza e dal tipo di legame fisico che l'incantatore ha nei confronti della creatura. Il bersaglio non sa contro cosa sta effettuando il tiro salvezza, avverte solo una sensazione di disagio. L'incantatore conosce il bersaglio in maniera ... I ndiretta (ha sentito parlare del bersaglio) Diretta (ha incontrato il bersaglio) Modificatore al tiro salvezza +5 +O Approfondita (conosce bene il bersaglio) -5 L'oggetto del bersaglio che l'incantatore Modificatore possiede è... al tiro salvezza I mmagine o altra raffigurazione -2 Abito o altro oggetto personale -4 Parte del corpo, ciocca di capelli o pezzo -1 0 di unghia In caso di tiro salvezza superato, il bersaglio non viene influenzato dall'incantesimo, che l'incantatore non può lanciare su di esso per 24 ore. In caso di fallimento, l'incantesimo crea un sensore invi­ sibile e intangibile entro 3 metri dal bersaglio, attraverso cui l'incantatore può vedere e sentire come se si trovasse sul posto. Il sensore si muove insieme al bersaglio, rimanendo entro 3 metri da esso per la durata dell'incan­ tesimo. Se qualcosa è in grado di vedere il sensore, esso appare come un globo luminoso grande all'incirca quanto un pugno umano. 32 6 Invece di bersagliare una creatura, l'incantatore può bersagliare un luogo che ha già visto. Quando lo fa, il sen­ sore appare in quel luogo e non si muove. SCUDO"
SCUDO,1,Abiurazione,"mago, stregone","reazione, che l'incantatore effettua quando è colpito da u n  tiro per colpire o bersagliato dall'incante­ simo dardo incantato",incantatore,"V, S",l round,"Una barriera impercettibile di forza magica protegge l'incantatore. Fino all'inizio del suo turno successivo, l'incantatore ottiene un bonus di +5 alla CA da applicare anche all'attacco innescante e non subisce danni da dardo incantato. SCUDO DELLA FEDE"
SCUDO DELLA FEDE,1,Abiurazione,"chierico, paladino",azione bonus,18 metri,"V, S, M (una pergamena con una preghiera)","concentrazione, fino a 1 0  minuti","Un campo di energia scintillante avvolge una creatura scelta dall'incantatore entro gittata, conferendole un bonus di +2 alla CA per la durata dell'incantesimo. ScuDo DI Fuoco"
ScuDo DI Fuoco,4,Invocazione,"druido, mago, stregone",azione,incantatore,"V, S, M (un frammento di fosforo o una lucciola)",1 0  minuti,"Per la durata dell'incantesimo, il corpo dell'incantatore è avvolto da fiamme sottili, che proiettano luce intensa in un raggio di 3 metri e luce fioca per ulteriori 3 metri. Le fiamme conferiscono all'incantatore uno scudo ardente o gelido a sua scelta. Lo scudo ardente gli conferi­ sce resistenza ai danni da freddo, mentre lo scudo gelido resistenza ai danni da fuoco. Inoltre, ogni volta che una creatura entro 1,5 metri dall'incantatore lo colpisce con un tiro per colpire in mischia, dallo scudo erompono delle fiamme. L'attaccante subisce 2d8 danni da fuoco da uno scudo ardente o 2d8 danni da freddo da uno scudo gelido. SCUROVISIONE"
SCUROVISIONE,2,Trasmutazione,"druido, mago, ranger, stregone",azione,contatto,"V, S, M (una carota essiccata)",8 ore,"Per la durata dell'incantesimo, una creatura consenziente toccata dall'incantatore è dotata di scurovisione fino a 45 metri. SEGUGIO FEDELE DI MORDENKAINEN"
SEGUGIO FEDELE DI MORDENKAINEN,4,Evocazione,mago,azione,9 metri,"V, S, M (un fischietto d'argento)",8 ore,"L'incantatore evoca un cane da guardia fantasma in uno spazio libero entro gittata che è in grado di vedere. Il segugio permane per la durata dell'incantesimo o fino a quando la distanza tra il segugio e l'incantatore non supera i 90 metri di distanza. Solo l'incantatore è in grado di vedere il segugio, che è intangibile e invulnerabile. Quando una creatura di taglia Piccola o inferiore si avvicina entro 9 metri dal segugio senza prima aver pronunciato la parola d'ordine specificata dall'incantatore al momento del lancio dell'in­ cantesimo, il segugio inizia ad abbaiare sonoramente. Il segugio ottiene vista pura con un raggio di 9 metri. All'inizio di ogni turno dell'incantatore, il segugio tenta di mordere un nemico entro 1,5 metri da sé. Il nemico deve superare un tiro salvezza su Destrezza, altrimenti subisce 4d8 danni da forza. Nei turni successivi, l'incantatore può effettuare un'a­ zione di Magia per spostare il segugio fino a 9 metri. SEMBRARE"
SEMBRARE,5,Illusione,"bardo, mago, stregone",azione,9 metri,"V, S",8 ore,"L'incantatore assegna un aspetto illusorio a ogni creatura a sua scelta entro gittata che è in grado di vedere. Un ber­ saglio non consenziente può effettuare un tiro salvezza su Carisma e, se lo supera, non ne viene influenzato. L'incantatore può assegnare lo stesso aspetto o aspetti diversi ai bersagli. L'incantesimo consente di modificare l'aspetto fisico e l'equipaggiamento dei bersagli. Ogni creatura può apparire 30 centimetri più alta o più bassa, più grassa o più magra. Il nuovo aspetto del bersaglio deve usare la stessa disposizione basilare degli arti del bersa­ glio. Entro questi limiti, la natura dell'illusione dipende dall'incantatore. L'incantesimo permane per tutta la sua durata. I cambiamenti apportati da questo incantesimo non passano il vaglio di un'ispezione fisica. Per esempio, se l'incantatore usa questo incantesimo per aggiungere un cappello all'abbigliamento della creatura, gli oggetti sono in grado di attraversarlo. Una creatura che effettua l'azione di Studio per esami­ nare un bersaglio può effettuare una prova di Intelligenza (Indagare) contro la CD del tiro salvezza sull'incantesimo. Se la supera, capisce che il bersaglio è camuffato. SEMIPIANO"
SEMIPIANO,8,Evocazione,"mago, stregone, warlock",azione,18 metri,S,1 ora,"I.:incantatore crea una porta d'ombra di taglia Media su una superficie piatta e solida entro gittata che è in grado di vedere. La porta può essere aperta e chiusa, e conduce verso un semipiano che appare come una stanza vuota di legno o pietra (a scelta dell'incantatore) ampia 9 metri in ogni dimensione. Al termine dell'incantesimo, la porta scompare e gli oggetti al suo interno rimangono nel semipiano. Ciò si applica anche alle creature, a meno che non scelgano di venire spinte attraverso la porta mentre questa svanisce, atterrando prone sugli spazi liberi più vicini allo spazio occupato precedentemente dalla porta. Ogni volta che lancia questo incantesimo, l'incantatore può creare un nuovo semipiano o collegare la porta d'om­ bra a un semipiano da lui creato con un lancio precedente di questo incantesimo. Inoltre, se l'incantatore conosce la natura e i contenuti di un semipiano creato da un'altra creatura lanciando questo incantesimo, può fare invece in modo che la porta d'ombra si colleghi a quel semipiano. SERRATURA ARCANA"
SERRATURA ARCANA,2,Abiurazione,mago,azione,contatto,"V, S, M (polvere d 'oro del valore di 25 mo o più, che viene consumata dall'incantesimo)",finché non viene d issolto,"Toccando una porta, una finestra, un cancello, un conte­ nitore o una botola, l'oggetto viene sigillato magicamente per la durata dell'incantesimo. I.:oggetto non può essere aperto tramite mezzi non magici. L'incantatore e le creature da lui designate al momento del lancio dell'in­ cantesimo possono aprire e chiudere l'oggetto nonostante la serratura. I.: incantatore può anche stabilire una parola d'ordine che, una volta pronunciata entro 1,5 metri dall'oggetto, lo mantiene aperto per 1 minuto. SERVITORE INOSSERVATO"
SERVITORE INOSSERVATO,1,Evocazione,"bardo, mago, warlock",azione o rituale,18 metri,"V, S, M (un pezzo di spago e di legno)",1 ora,"Fino al termine di questo incantesimo, una forza Media invisibile, amorfa e priva di volontà propria svolge dei compiti semplici su ordine dell'incantatore. Il servitore appare sul terreno in uno spazio libero entro gittata, ha CA 10, 1 punto ferita, Forza pari a 2 e non può attaccare. Se scende a O punti ferita, l'incantesimo termina. Una volta in ogni suo turno, come azione bonus, l'incantatore può ordinare mentalmente al servitore di spostarsi di un massimo di 4,5 metri e interagire con un oggetto. Esso può eseguire compiti semplici alla stregua di un umano, come portare oggetti, pulire, riparare, ripie­ gare abiti, accendere fuochi, servire pietanze e versare bevande. Una volta impartito il comando, il servitore svolge il compito al meglio delle sue capacità finché non lo porta a termine, poi attende l'ordine successivo dell'incantatore. Se l'incantatore ordina al servitore di eseguire un compito che Io porta a più di 18 metri da lui, l'incantesimo termina. SFERA AL VETRIOLO"
SFERA AL VETRIOLO,4,Invocazione,"mago, stregone",azione,45 metri,"V, S, M (una goccia di bile)",istantanea,"L'incantatore indica un punto entro gittata e un globo luminescente di acido del diametro di 30 centimetri sfreccia verso quel punto, dove esplode in una sfera del raggio di 6 metri. Ogni creatura nell'area effettua un tiro salvezza su Destrezza. Se lo fallisce, subisce 10d4 danni da acido e altri 5d4 danni da acido alla fine del suo turno successivo. In caso di successo, subisce soltanto la metà dei danni iniziali. Utilizzo di uno slot incantesimo di livello superiore. I danni iniziali aumentano di 2d4 per ogni slot di livello superiore al 4°. SFERA CONGELANTE DI 0TILUKE"
