Livello,Nome Incantesimo,Classi,Descrizione Base
Level 6,RICHIAMA IMMONDO,"Mago, Warlock","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (una fiala di s'angue del valore di 600 mo o più) Durata: concentrazione, fino a 1 ora Folletto Piccolo, neutrale CA 1 2  + il livello dell'incantesimo PF 30 + 10 per ogni livello di incantesimo sopra il 3° Velocità 9 m, volo 9 m M O D  S..."
Level 3,RICHIAMA NON MORTO,"Mago, Warlock","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un teschio dorato del valore di 300 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito non morto, che si manife­ sta in uno spazio libero entro gittata che egli sia in grado di vedere e utilizza la scheda del..."
Level 7,RIGENERAZIONE,"Bardo, Chierico, Druido","Tempo di lancio: l minuto Gittata: contatto Componenti: V, S, M (un ruota della preghiera) Durata: l ora Una creatura toccata dall'incantatore recupera 4d8 + 15 punti ferita. Per la durata dell'incantesimo, il bersaglio recupera 1 punto ferita all'inizio di ogni suo turno e qualsiasi parte del corpo..."
Level 3,RIMUOVI MALEDIZIONE,"Chierico, Mago, Paladino, Warlock","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: istantanea Al tocco dell'incantatore, tutte le maledizioni che affliggono una creatura o un oggetto terminano. Nel caso di un oggetto magico maledetto, la sua male­ dizione permane, ma l'incantesimo spezza la sintonia del suo proprie..."
Level 3,RINASCITA,"Chierico, Druido, Paladino, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un diamante del valore di 300 mo o più, che l'incantesimo consuma) Durata: istantanea L'incantatore tocca una creatura morta nell'ultimo minuto, la quale ritorna in vita con 1 punto ferita. Questo incante­ simo non può riportare in vita ..."
Cantrip,RINTOCCO DEI MORTI,"Chierico, Mago, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore prende di mira una creatura entro gittata che è in grado di vedere, dopodiché si sente il singolo lugubre rintocco di una campana entro 3 metri da essa. Il bersaglio deve superare un tiro salvezza su Saggezza..."
Level 2,RIPOSO INVIOLATO,"Chierico, Mago, Paladino","Tempo di lancio: azione o rituale Gittata: contatto Componenti: V, S, M (2 monete di rame, che l'incantesimo consuma) Durata: 1 0  giorni L'incantatore tocca un cadavere o altri resti. Per la durata dell'incantesimo, il bersaglio è protetto dalla decomposi­ zione e non può diventare un non morto. In..."
Level 5,RISVEGLIO,"Bardo, Druido","Tempo di lancio: 8 ore Gittata: contatto Componenti: V, S, M (un'agata del valore di 1 .000 mo o più, che l'incantesimo consuma) Durata: istantanea L'incantatore trascorre il tempo di lancio tracciando percorsi magici su una pietra preziosa, poi tocca il ber­ saglio. Il bersaglio deve essere una bes..."
Cantrip,SALVARE I MORENTI,"Chierico, Druido","Tempo di lancio: azione Gittata: 4,5 metri Componenti: V, S Durata: istantanea L'incantatore sceglie una creatura entro gittata con O punti ferita ma che è ancora in vita, facendola diventare stabile. Trucchetto potenziato. La gittata raddoppia quando l'incantatore raggiunge il 5° livello (9 metri),..."
Level 5,SANTIFICARE,Chierico,"Tempo di lancio: 24 ore Gittata: contatto Componenti: V, S, M (incenso del valore di 1 .000 mo o più, che l'incantesimo consuma) Durata: fi nché non viene dissolto L'incantatore tocca un punto e infonde un potere sacro o sacrilego in un'area del raggio massimo di 18 metri intorno a esso. L'incantesi..."
Level 1,SANTUARIO,Chierico,"Tempo di lancio: azione bonus Gittata: 9 metri Componenti: V, S, M (un frammento di vetro di uno specchio) Durata: l minuto L'incantatore protegge una creatura situata entro gittata. Fino al termine dell'incantesimo, ogni creatura che bersaglia la creatura protetta con un tiro per colpire o con un i..."
Level 4,SANTUARIO PRIVATO DI MORDENKAINEN,Mago,"Tempo di lancio: 1 0  minuti Gittata: 36 metri Componenti: V, S, M (una sottile lamina di piombo) Durata: 24 ore L'incantatore rende magicamente sicura un'area entro gittata: un cubo le cui dimensioni possono variare da un minimo di 1,5 metri per spigolo a un massimo di 30 metri per spigolo. L'incan..."
Level 3,SCAGLIARE MALEDIZIONE,"Bardo, Chierico, Mago","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: concentrazione, fino a l minuto L'incantatore tocca una creatura che deve superare un tiro salvezza su Saggezza, altrimenti verrà maledetta per la durata dell'incantesimo. Finché la maledizione non sva­ nisce, il bersaglio subisce un..."
Level 2,SCASSINARE,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: istantanea L'incantatore sceglie un oggetto entro gittata che egli sia in grado di vedere. Può trattarsi di una porta, uno scrigno, un forziere, un paio di manette, un lucchetto o un altro oggetto dotato di un mezzo normale o magico per..."
Cantrip,SCHEGGIA DELLA MENTE,"Mago, Stregone, Warlock",Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: 1 round L'incantatore tenta di spezzare temporaneamente la mente di una creatura entro gittata che è in grado di vedere. La creatura deve superare un tiro salvezza su Intelligenza o subire ld6 danni psichici e sottrarre ld4 al tiro salv...
Level 9,SCIAME DI METEORE,"Mago, Stregone","Tempo di lancio: azione Gittata: 1 , 5  chilometri Componenti: V, S Durata: istantanea Globi infuocati precipitano sul terreno in quattro punti differenti entro gittata che l'incantatore è in grado di vedere. Ogni creatura situata in una sfera del raggio di 12 metri centrata su ognuno di quei punti ..."
Level 4,SCOLPIRE PIETRA,"Chierico, Druido, Mago","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (argilla morbida) Durata: istantanea L'incantatore tocca un oggetto di pietra di taglia Media o inferiore, oppure una sezione di pietra non più grande di 1,5 metri in ogni dimensione, modellandola nella forma che desidera. Per esempio, po..."
Level 6,SCOPRI IL PERCORSO,"Bardo, Chierico, Druido","Tempo di lancio: 1 minuto Gittata: incantatore Componenti: V, S, M (un set di strumenti di divinazione, come carte o rune, del valore di 1 00 mo o più) Durata: concentrazione, fino a 1 giorno L'incantatore percepisce magicamente il percorso fisico più diretto verso una destinazione di cui nomina il ..."
Level 2,SCOPRI TRAPPOLE,"Chierico, Druido, Ranger","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore percepisce qualsiasi trappola piazzata entro gittata e nel suo campo visivo. Ai fini di questo incantesimo, per trappola si intende qualsiasi oggetto o meccanismo creato per provocare danni o altri pericoli. ..."
Level 5,SCOSSA SINAPTICA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore sprigiona un'esplosione di energia psichica da un punto entro gittata. Ogni creatura presente in una sfera dal raggio di 6 metri e centrata su quel punto deve effettuare un tiro salvezza su Intelligenza, sube..."
Level 4,SCUDO DI FUOCO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un frammento di fosforo o una lucciola) Durata: 1 0  minuti Per la durata dell'incantesimo, il corpo dell'incantatore è avvolto da fiamme sottili, che proiettano luce intensa in un raggio di 3 metri e luce fioca per ulteriori 3 metri...."
Level 2,SCUROVISIONE,"Druido, Mago, Ranger, Stregone","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (una carota essiccata) Durata: 8 ore Per la durata dell'incantesimo, una creatura consenziente toccata dall'incantatore è dotata di scurovisione fino a 45 metri. SEGUGIO FEDELE DI MORDENKAINEN"
Level 4,SEGUGIO FEDELE DI MORDENKAINEN,Mago,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (un fischietto d'argento) Durata: 8 ore L'incantatore evoca un cane da guardia fantasma in uno spazio libero entro gittata che è in grado di vedere. Il segugio permane per la durata dell'incantesimo o fino a quando la distanza tra il segug..."
Level 5,SEMBRARE,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: 8 ore L'incantatore assegna un aspetto illusorio a ogni creatura a sua scelta entro gittata che è in grado di vedere. Un ber­ saglio non consenziente può effettuare un tiro salvezza su Carisma e, se lo supera, non ne viene influenzato..."
Level 8,SEMIPIANO,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: S Durata: 1 ora I.:incantatore crea una porta d'ombra di taglia Media su una superficie piatta e solida entro gittata che è in grado di vedere. La porta può essere aperta e chiusa, e conduce verso un semipiano che appare come una stanza vuota di ..."
Level 2,SERRATURA ARCANA,Mago,"Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (polvere d 'oro del valore di 25 mo o più, che viene consumata dall'incantesimo) Durata: finché non viene d issolto Toccando una porta, una finestra, un cancello, un conte­ nitore o una botola, l'oggetto viene sigillato magicamente per la..."
Level 4,SFERA AL VETRIOLO,"Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (una goccia di bile) Durata: istantanea L'incantatore indica un punto entro gittata e un globo luminescente di acido del diametro di 30 centimetri sfreccia verso quel punto, dove esplode in una sfera del raggio di 6 metri. Ogni creatura n..."
Level 6,SFERA CONGELANTE DI 0TILUKE,"Mago, Stregone","Tempo di lancio: azione Gittata: 90 metri Componenti: V, S, M (una sfera di cristallo in miniatura) Durata: istantanea Una sfera congelata sfreccia dall'incantatore verso un punto a sua scelta entro gittata, dove esplode in una sfera di 18 metri di raggio. Ogni creatura in quell'area effettua un tir..."
Level 4,SFERA ELASTICA DI 0TILUKE,Mago,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (una sfera di vetro) Durata: concentrazione, fino a 1 minuto Una sfera di forza scintillante racchiude una creatura o un oggetto di taglia Grande o inferiore entro gittata. Una creatura non consenziente deve superare un tiro salvezza su De..."
Level 2,SFERA INFUOCATA,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (una pallina di cera) Durata: concentrazione, fino a 1 minuto L'incantatore crea una sfera di fuoco del diametro di 1,5 metri in uno spazio libero del terreno entro gittata che permane per la durata dell'incantesimo. Ogni creatura che ter..."
Level 2,SFOCATURA,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: concentrazione, fino a 1 minuto Il corpo dell'incantatore diventa sfocato. Per la durata dell'incantesimo, tutte le creature subiscono svantaggio ai tiri per colpire contro l'incantatore. Un attaccante è immune a questo effetto se pe..."
Level 6,SGUARDO PENETRANTE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 minuto Per la durata dell'incantesimo, gli occhi dell'incantatore diventano neri e vacui. Una creatura a scelta dell'incan­ tatore entro 18 metri da lui e che l'incantatore è in grado di vedere deve supera..."
Level 2,SILENZIO,"Bardo, Chierico, Ranger","Tempo di lancio: azione o rituale Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore genera una sfera del raggio di 6 metri cen­ trata su un punto a sua scelta situato entro gittata e, per la durata dell'incantesimo, nessun suono può essere creato all'interno..."
Level 7,SIMBOLO,"Bardo, Chierico, Druido, Mago","Tempo di lancio: 1 minuto Gittata: contatto Componenti: V, S, M (polvere di diamante del valore di 1 .000 mo o più, che l'incantesimo consuma) Durata: finché non viene dissolto o innescato L'incantatore traccia un glifo nocivo su una superficie (come una sezione di pavimento o una parete) o all'in­ ..."
Level 7,SIMULACRO,Mago,"Tempo di lancio: 1 2  ore Gittata: contatto Componenti: V, S, M (polvere di rubino del valore di 1 . 500 mo o più, che l ' incantesimo consuma) Durata: finché non viene dissolto Il personaggio crea un simulacro di una bestia o un umanoide entro 3 metri da sé per l'intera durata del lancio dell'incan..."
Level 2,SOFFIO DEL DRAGO,"Mago, Stregone","Tempo di lancio: azione bonus Gittata: contatto Componenti: V, S, M (un peperoncino) Durata: concentrazione, fino a 1 minuto L'incantatore tocca una creatura consenziente e sceglie acido, freddo, fulmine, fuoco, o veleno. Fino al termine dell'incantesimo, il bersaglio può usare la sua azione di Magi..."
Level 5,SOGNO,"Bardo, Mago, Warlock","Tempo di lancio: 1 minuto Gittata: speciale Componenti: V, S, M (una manciata di sabbia) Durata: 8 ore L'incantatore bersaglia una creatura che conosce sullo stesso piano di esistenza. L'incantatore o una creatura con­ senziente da lui toccata entra in uno stato di trance, assu­ mendo il ruolo di me..."
Level 1,SORTILEGIO,Warlock,"Tempo di lancio: azione bonus Gittata: 27 metri Componenti: V, S, M (l'occhio pietrificato di un tritone) Durata: concentrazione, fino a 1 ora L'incantatore scaglia una maledizione su una creatura entro gittata e che è in grado di vedere. Fino al termine dell'incantesimo, l'incantatore infligge ld6 ..."
Level 2,LA CONCENTRAZIONE DELL'INCANTATORE PUÒ DURARE DI PIÙ,Fino A 4 Ore,di 3° o 4° livello (fino a 8 ore) o di 5° livello o superiore (24 ore). SPADA DI MORDENKAINEN
Level 7,SPADA DI MORDENKAINEN,"Bardo, Mago","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (una spada in miniatura del valore di 250 mo o più) Durata: concentrazione, fino a 1 minuto L'incantatore crea una spada spettrale che fluttua entro gittata e permane per tutta la durata dell'incantesimo. Quando la spada appare, l'incanta..."
Level 1,SPRUZZO COLORATO,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un pizzico di sabbia colorata) Durata: istantanea L'incantatore lancia un lampo abbagliante di luce multicolore. Ogni creatura entro un cono di 4,5 metri originato dall'incantatore deve superare un tiro salvezza su Costituzione, altri..."
Level 7,SPRUZZO PRISMATICO,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: istantanea Otto raggi di luce si sprigionano dall'incantatore in un cono di 18 metri. Ogni creatura presente nel cono effettua un tiro salvezza su Destrezza. Per ogni bersaglio, si tira ld8 per determinare da quale raggio viene in..."
Cantrip,SPRUZZO VELENOSO,"Druido, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: istantanea L'incantatore spruzza una nebbia tossica contro una creatura entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ld12 danni da veleno. Trucchett..."
Cantrip,STREGONERIA ESPLOSIVA,Stregone,"Tempo di lancio: azione Gittata: 36 metri Componente: V, S Durata: istantanea L'incantatore proietta energia stregonesca verso una creatura o un oggetto entro gittata, effettuando un tiro per colpire a distanza contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ld8 danni di un tipo a ..."
Cantrip,STRETTA FOLGORANTE,"Mago, Stregone","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: istantanea Un fulmine si sprigiona dall'incantatore verso una crea­ tura da lui toccata. Con questo incantesimo, l'incantatore effettua un attacco in mischia contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ld8 danni..."
Level 2,SUGGESTIONE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: V, M (una goccia di miele) Durata: concentrazione, fino a 8 ore L'incantatore suggerisce un corso d'azione da intrapren­ dere (descritto con non più di 25 parole) a una creatura entro gittata che è in grado di vedere. Le creature devono essere in ..."
Level 6,SUGGESTIONE DI MASSA,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, M (una lingua di serpente) Durata: 24 ore L'incantatore suggerisce un corso d'azione da intrapren­ dere (descritto con non più di 25 parole} a fino a dodici creature entro gittata che è in grado di vedere. Le creature devono essere in grado di..."
Cantrip,TAUMATURGIA,Chierico,"Tempo di lancio: azione Gittata: 9 metri Componenti: V Durata: fino a 1 minuto L'incantatore genera una meraviglia minore entro gittata, oltre a uno degli effetti elencati di seguito. Se l'incantatore lancia questo incantesimo più volte, può tenere attivi con­ temporaneamente fino a tre dei suoi eff..."
Level 5,TELECINESI,"Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore ottiene la capacità di spostare o manipolare creature e oggetti con la forza del pensiero. Al lancio e come sua azione di Magia ogni turno successivo prima del termine dell'incantesimo..."
Level 8,TELEPATIA,Mago,"Tempo di lancio: azione Gittata: illimitata Componenti: V, S, M (un paio di anelli d'argento concatenati) Durata: 24 ore L'incantatore crea un legame telepatico tra se stesso e una creatura consenziente che gli è familiare. La crea­ tura può trovarsi ovunque sullo stesso piano di esistenza dell'inca..."
Level 7,TELETRASPORTO,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 3 metri Componenti: V Durata: istantanea Questo incantesimo teletrasporta immediatamente l'in­ cantatore e un solo oggetto o un massimo di otto creature consenzienti, che si trovano entro gittata e che egli è in grado di vedere, fino a una destinazione a sua scelta. ..."
Level 7,TEMPESTA DI FUOCO,"Chierico, Druido, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S Durata: istantanea Una tempesta di fuoco compare in un luogo entro gittata. L'area della tempesta è composta da dieci cubi con spigolo di 3 metri, che l'incantatore può disporre come desidera. Ogni cubo deve essere contiguo ad almeno un altr..."
Level 4,TEMPESTA DI GHIACCIO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 90 metri Componenti: V, S, M (una muffola) Durata: istantanea Chicchi di grandine cadono in un cilindro del raggio di 6 metri e alto 12 metri, centrato su un punto entro gittata. Ogni creatura presente nel cilindro effettua un tiro salvezza su Destrezza, subendo 2d10..."
Level 3,TEMPESTA DI NEVISCHIO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (un ombrello in miniatura) Durata: concentrazione, fino a l minuto Fino al termine dell'incantesimo cade del nevischio in un cilindro alto 12 metri dal raggio di 6 metri il cui centro è un punto a scelta dell'incantatore entro gittata. L'..."
Level 9,TEMPESTA DI VENDETTA,Druido,"Tempo di lancio: azione Gittata: 1 , 5  chilometri Componenti: V, S Durata: concentrazione, fino a l minuto Per la durata dell'incantesimo, l'incantatore genera una minacciosa nube temporalesca che si espande fino a una raggio di 90 metri centrata su un punto entro gittata. Ogni creatura che si trov..."
Level 5,TEMPESTA RADIOSA DI JALLARZI,"Mago, Warlock","Tempo di lancio: azione Gittata: 36 metri Componente: V, S, M (un pizzico di fosforo) Durata: concentrazione, fino a l minuto L'incantatore scatena una tempesta di fulmini saettanti e tuoni rombanti in un cilindro del diametro di 3 metri e dell'altezza di 12 metri, centrato su un punto entro gittata..."
Level 4,TENTACOLI NERI DI EVARD,Mago,"Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un tentacolo) Durata: concentrazione, fino a 1 minuto Una massa di tentacoli brulicanti color ebano riempie un quadrato con lato di 6 metri situato sul terreno entro gittata e che l'incantatore è in grado di vedere. Per la durata dell'in..."
Level 8,TERREMOTO,"Chierico, Druido, Stregone","Tempo di lancio: azione Gittata: 1 50 metri Componenti: V, S, M (una roccia fratturata) Durata: concentrazione, fino a 1 minuto L'incantatore sceglie un punto del terreno entro gittata che è in grado di vedere. Per la durata dell'incantesimo, una scossa intensa sconquassa il terreno in un raggio di ..."
Level 4,TERRENO ILLUSORIO,"Bardo, Druido, Mago, Warlock","Tempo di lancio: 1 0  minuti Gittata: 90 metri Componenti: V, S, M (un fungo) Durata: 24 ore L'incantatore fa in modo che un terreno naturale in un cubo con spigolo di 45 metri entro gittata abbia l'aspetto, i suoni e gli odori di un altro tipo di terreno naturale. Un campo aperto o una strada potre..."
Level 3,TOCCO DEL VAMPIRO,"Stregone, Mago, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 minuto Il tocco della mano dell'incantatore, avviluppata in una cortina d'ombra, può risucchiare l'energia vitale delle altre creature per curare le proprie ferite. Effettua un attacco con incantesimo in m..."
Cantrip,TOCCO GELIDO,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: istantanea Incanalando un flusso di gelo sepolcrale, l'incantatore effettua un attacco con incantesimo in mischia contro un bersaglio a portata. Se il colpo va a segno, il bersaglio subisce ldlO danni necrotici e non può recuperare p..."
Level 3,TRAMA IPNOTICA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: S, M (u na manciata di coriandoli) Durata: concentrazione, fino a 1 minuto All'interno di un cubo con spigolo di 9 metri entro gittata, l'incantatore crea un intreccio di colori serpeggianti che appare per qualche secondo prima di svanire. Ogni c..."
Level 9,TRASFORMAZIONE,"Druido, Mago","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (u n diadema di giada del valore di 1 . 500 mo o più) Durata: concentrazione, fino a 1 ora D "" L'incantatore assume la forma di una creatura diversa per la durata dell'incantesimo o finché non effettua un'azione di Magia per mutare in ..."
Level 5,TRASLAZIONE ARBOREA,"Druido, Ranger","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a l minuto L'incantatore ottiene la capacità di entrare in un albero e muoversi al suo interno fino ad arrivare a un altro albero dello stesso tipo posto entro 150 metri. Entrambi gli alberi devono essere vivi..."
Level 6,TRASPORTO VEGETALE,Druido,"Tempo di lancio: azione Gittata: 3 metri Componenti: V, S Durata: l minuto Questo incantesimo crea un legame magico tra un vege­ tale inanimato di taglia Grande o superiore situato entro gittata e un altro vegetale, situato a qualsiasi distanza sullo stesso piano di esistenza. L'incantatore deve ave..."
Level 2,TROVA CAVALCATURA,Paladino,"Tempo di lancio: azione Gittata: 9 metri Componente: V, S Durata: istantanea L'incantatore evoca un essere ultraterreno che appare come una cavalcatura forte e fedele in uno spazio libero a scelta dell'incantatore entro gittata. Questa creatura usa la scheda delle statistiche della cavalcatura ultra..."
Level 2,TRUCCO DELLA CORDA,Mago,"Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un pezzo di corda) Durata: l ora L'incantatore tocca una corda: un'estremità fluttua verso l'alto finché la corda non pende perpendicolarmente al terreno oppure raggiunge il soffitto. All'estremità supe­ riore della corda, si apre un por..."
Level 8,TSUNAMI,Druido,"Tempo di lancio: l minuto Gittata: 1 , 5  chilometri Componenti: V, S Durata: concentrazione, fino a 6 round Un muro di acqua si materializza in un punto a scelta dell'incantatore entro gittata. Il muro può avere dimen­ sioni massime di 90 metri di lunghezza, 90 metri di altezza e 15 metri di spesso..."
Level 5,TURBINE IMPLACABILE,"Ranger, Mago","Tempo di lancio: azione Gittata: 9 metri Componenti: S, M (un'arma da mischia dal valore di l ma o superiore) Durata: istantanea"
